AMOREBIETA G.;AG;0,796;BIZKAIA
Zugastieta;ZT;6,598;BIZKAIA
Muxika;MU;11,206;BIZKAIA
Lurgorri;LG;13,578;BIZKAIA
GERNIKA;GK;14,503;BIZKAIA
Institutoa;IT;15,141;BIZKAIA
Forua;F;16,541;BIZKAIA
San Kristobal;SK;21,342;BIZKAIA
Busturia-Axpe;BX;22,722;BIZKAIA
B.-ITSASBEGI;SU;24,001;BIZKAIA
Mundaka;MN;26,243;BIZKAIA
BERMEO;BR;28,772;BIZKAIA
ATXURI;B;0;BIZKAIA
BOLUETA;BO;2,155;BIZKAIA
Etxebarri;EX;4,761;BIZKAIA
Ariz;AB;5,885;BIZKAIA
Zuhatzu;ZG;8,506;BIZKAIA
Usansolo;UG;11,513;BIZKAIA
Bedia;BD;14,103;BIZKAIA
Lemoa;L;16,088;BIZKAIA
Amorebieta;A;20,625;BIZKAIA
EUBA;EB;25,16;BIZKAIA
DURANGO;D;31,27;BIZKAIA
TRAÑA;TR;33,271;BIZKAIA
Berriz;BE;36,621;BIZKAIA
Zaldibar;ZA;39,04;BIZKAIA
Mallabia;MB;41,023;BIZKAIA
ERMUA;ER;43,445;GIPUZKOA
Unibertsitatea;EU;46,7;GIPUZKOA
Ardanza;EA;47,979;GIPUZKOA
EIBAR;EI;48,742;GIPUZKOA
Azitain;EZ;49,543;GIPUZKOA
Malzaga;MZ;51,086;GIPUZKOA
Elgoibar;EL;54,347;GIPUZKOA
Alzola;AZ;57,859;GIPUZKOA
Mendaro;MR;60,403;GIPUZKOA
Deba;DB;67,312;GIPUZKOA
Arroa;AN;75,978;GIPUZKOA
Zumaia;ZI;78,495;GIPUZKOA
Zarautz;ZZ;85,688;GIPUZKOA
San Pelaio;SP;86,564;GIPUZKOA
Aia-Orio;AO;90,255;GIPUZKOA
Usurbil;UB;98,127;GIPUZKOA
Lasarte;LT;100,701;GIPUZKOA
Errekalde;EK;102,207;GIPUZKOA
Añorga;AÑ;104,182;GIPUZKOA
Lugaritz;LD;105,642;GIPUZKOA
DONOSTIA;SS;107,777;GIPUZKOA
ANOETA;AT;1,801;GIPUZKOA
LOIOLA;LL;3,005;GIPUZKOA
HERRERA;H;5,662;GIPUZKOA
PASAIA;PA;7,354;GIPUZKOA
GALTZARABORDA;RG;8,518;GIPUZKOA
RENTERIA;RT;9,162;GIPUZKOA
OIARTZUN;OY;10,839;GIPUZKOA
GAINTXURIZKETA;G;13,663;GIPUZKOA
IRUNGO BENTAK;IR;17,53;GIPUZKOA
BELASCOENEA;IB;18,8;GIPUZKOA
IRUN COLON;IN;19,672;GIPUZKOA
FICOBA;IF;20,892;GIPUZKOA
HENDAIA;HN;21,37;GIPUZKOA
ERMUA;ER;43,445;BIZKAIA
DONOSTIA;SS;0;GIPUZKOA
KUKULLAGA;SA;4,114;BIZKAIA
CASCO VIEJO;CV;0;BIZKAIA
La Ola;LO;4,724;BIZKAIA
SONDIKA;SO;5,224;BIZKAIA
Larrondo;LR;5,729;BIZKAIA
Elotxelerri;EL;6,53;BIZKAIA
DERIO;DE;8,1;BIZKAIA
Zamudio;ZM;10,141;BIZKAIA
La Cruz;LC;11,857;BIZKAIA
LEZAMA;LZ;12,87;BIZKAIA
LASARTE ORIA;LO;0;GIPUZKOA
AZPEITIA;AZP;0;GIPUZKOA
LASAO;LS;4,298;GIPUZKOA
LUTXANA;LU;-0,1;BIZKAIA
ASUA;AS;2,462;BIZKAIA
SANGROIZ APDO.;SZ;3,12;BIZKAIA
SONDIKA;SO;4,178;BIZKAIA
AMOREBIETA;A;0;BIZKAIA
Fanderia;RF;10,084;GIPUZKOA
Oikina;OK;80,487;GIPUZKOA
Karakate;KT;53,2;GIPUZKOA
LEBARIO;LB;34,4;BIZKAIA
DURANGO TALLER;DT;31,27;BIZKAIA
INTXAURRONDO;ID;4,137;GIPUZKOA
ARASO;AR;15,7;GIPUZKOA
BASURTO HOSPITAL;BAS;0;BIZKAIA
CASCO VIEJO;CV;0;BIZKAIA
TXURDINAGA;TX;2,032;BIZKAIA
OTXARKOAGA;OT;2,731;BIZKAIA
KUKULLAGA;SA;4,129;BIZKAIA
ARRIAGA APDO.;AA;1,313;BIZKAIA
ALTZA;AL;0,785;GIPUZKOA
ARIZ;AB;7,748;BIZKAIA
ZURBARANBARRI;ZR;1,007;BIZKAIA
LUTXANA BARAKALDO;LUT;5,719;BIZKAIA
TOLETXEGAIN;TO;55,19;GIPUZKOA
MATIKO;MK;-1,401;BIZKAIA
URIBARRI;UR;-0,899;BIZKAIA
PASAIA;PA;2,024;GIPUZKOA
IRAUREGUI;IRA;0;BIZKAIA
MATIKO;MK;1,401;BIZKAIA
URIBARRI;UR;0,899;BIZKAIA
AMAÑA;AM;47,500;GIPUZKOA
